Area,Site #,Latitude,Longitude,elevation (m),Rock type,S dominant,,S dominant dip direction,S dominant dip angle,Ls,Ls direction,Ls plunge,shear direction,shear sense,other foliations,other L,C' provided,C'-strike,C'-dip direction,C'-dip,Lineation,Lineation type,Sample,Thin section type,reference chunk,Big crushed,Small crushed,powdered?,other comments,Metamorphic minerals (field),Peak minerals
"Kangchenzunga National Park, From Chungthang up WEST limb of Tista river LACHEN",SK10,27.59747,88.64853,1650,,020/70E,20,110,70,,,,,,,,,,,,,,,no,,,,,,,
,,,,,,025/70W,25,115,70,,,,,,,,,,,,,,,,,,,,,,
,,,,,,310/70E,310,40,70,,,,,,,,,,,,,,,,,,,,,,
,SK11,27.60444,88.64567,1609,,320/20E,320,50,20,,,,,,,,,,,,,,,no,,,,,,,
,SK12,27.68850,88.58769,2255,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK13,27.70389,88.56247,2430,,342/57E,342,72,57,,,,,,,,,,,,,,yes,yes,,,,,,,
,,,,,,333/51NE,333,63,51,,,,,,,,,,,,341/18,,,,,,,,,,
,,,,,,075/sv  ,75,165,90,,,,,dextral,,,,,,,,,,,,,,,,,
,,,,,,340/48E,340,70,48,154/12,154,12,,,,,,,,,,stretching,,,,,,,,,
,,,,,,344/50E,344,74,50,136/20,136,20,,,,,,,,,,stretching,,,,,,,,,
,SK14,27.76831,88.54322,2992,,355/80E,355,85,80,,,,,,,,,,,,,,,no,,,,,,,
,,,,,,360/85E,360,90,85,,,,,,,,,,,,360/10,crenulation axis,,,,,,,,,
,SK15,27.76989,88.54358,3025,,002/sv,2,272,90,,,,,,,,,,,,002/00,intersection,,no,,,,,,,
,SK16,27.78017,88.54600,3150,,92/27N,92,2,27,,,,,,,,,,,,190/10,fold axis,,no,,,,,,,
,,,,,,180/45W,180,270,45,,,,,,,,,,,,,,,,,,,,,,
,SK17,27.77494,88.54808,3064,,015/35E,15,105,35,,,,,,,,,,,,,,,no,,,,,,,
,SK18,27.83789,88.55081,3580,,10/45E ,10,100,45,200/25,200,25,,"Top to S, normal dextral",,,,,,,,stretching,,no,,,,,,,
,,,,,,20/28E,20,110,28,,,,,,,,,,,,,,,,,,,,,,
,SK19,27.88536,88.53683,3850,,008/35E,8,98,35,180/06,180,6,,"Top to S, dextral",,,,,,,,stretching,,no,,,,,,,
,SK20,27.90650,88.52500,4035,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK21,27.90264,88.48542,4350,,062/64S,62,152,64,,,,,,,,,,,,,,,no,,,,,,,
,,,,,,272/56N,272,2,56,,,,,,,,,,,,,,,,,,,,,,
,,,,,,025/75E,25,115,75,,,,,,,,,,,,,,,,,,,,,,
,SK22,27.90608,88.50475,4190,,070/32S,70,160,32,,,,,,,,,,,,,,,no,,,,,,,
,SK23,27.90456,88.51831,4100,,010/40E,10,100,40,,,,,,,,,,,,,,,no,,,,,,,
,SK24,27.80336,88.55403,3227,,028/28,28,118,28,,,,,,,,,,,,,,,no,,,,,,,
,SK26,,,,,320/42E,320,50,42,,,,,,,,,,,,,,,no,,,,,,,
,,,,,,330/30E,330,60,30,,,,,,,,,,,,,,,,,,,,,,
,SK27,,,,,335/40E,335,65,40,,,,,,,,,,,,,,,no,,,,,,,
,,,,,,290/70S,290,200,70,,,,,,,,,,,,,,,,,,,,,,
,SK28,27.66344,88.60633,2350,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK29,27.65500,88.60564,1970,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK30,27.64742,88.60692,1915,,333/41E,333,63,41,,,,,,,,,,,,,,,no,,,,,,,
,SK31,27.63636,88.61633,1890,,90/50N,90,0,50,,,,,,,,,,,,,,,no,,,,,,,
,,,,,,rotates to 310/40E,310,40,40,,,,,,,,,,,,,,,,,,,,,,
