Area,Site #,Latitude,Longitude,elevation (m),Rock type,S dominant,S dominant dip direction,S dominant dip angle,Ls,Ls direction,Ls plunge,shear direction,shear sense,other foliations,other L,C' provided,C'-strike,C'-dip direction,C'-dip,Lineation,Lineation type,Sample,Thin section type,reference chunk,Big crushed,Small crushed,powdered?,other comments,Metamorphic minerals (field),Peak minerals
Nathula Pass road,,27.3325,88.61338889,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK71,27.37605556,88.75991667,3758,,,,,02/08,2,8,,sinistral ,,,08/68E,,,,,stretching,,no,,,,,,,
,,,,,,,,,352/12,352,12,,,,,346/75E,,,,,stretching,,,,,,,,,
,,27.37605556,88.75994444,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,,27.37575,88.7555,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,,27.37502778,88.75302778,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK72,27.37302778,88.74727778,3593,,,,,010/04,10,4,,,,,08/61E,,,,,stretching,,no,,,,,,,
,,,,,,,,,,,,,,,,16/60E,,,,,,,,,,,,,,
,SK73,27.37383333,88.73002778,3399,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK74,27.37386111,88.73002778,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,,27.37422222,88.72922222,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,,27.37422222,88.72927778,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK75,27.37191667,88.71811111,3246,,,,,,,,,,,,,,,,,,,no,,,,,,,
,,27.36872222,88.715,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK76,27.37269444,88.70708333,3142,,,,,,,,,,,,,,,,,,,no,,,,,,,
,,27.37638889,88.70788889,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK174,27.28494,88.19376,,,306/24N,36,24,,,,,,,,,,,,,,yes,NA,yes,yes,no,no,,,Sil
,SK141,27.38297,88.70232,3146,migmatite,327/64E,,64,18 to 283,283,18,top to S,thrust,,,,,,,,,yes,4x non oriented,yes,,,yes,could do Lu-Hf… shit loads of grt…,"grt, hbl, bt",Grt
