Area,Site #,Latitude,Longitude,elevation (m),Rock type,S dominant,S dominant dip direction,S dominant dip angle,Ls,Ls direction,Ls plunge,shear direction,shear sense,other foliations,other L,C' provided,C'-strike,C'-dip direction,C'-dip,Lineation,Lineation type,Sample,Thin section type,reference chunk,Big crushed,Small crushed,powdered?,other comments,Metamorphic minerals (field),Peak minerals
Kalimpong to Lava,WB29,27.05116,88.42612,310,Ms chl phyllite,084/13N,354,13,16 to 025,25,16,Ambiguous,ambiguous,,,,,,,,,,,,,,,,,
,WB30,27.06464,88.43041,401,Ms phyllit/schist,128/20N,38,20,15 to 30,30,15,top to the SSW,thrust,,,,,,,,,,,,,,,,,
,,,,,,130/18N,40,18,15 to 40,40,15,,,,,,,,,,,,,,,,,,,
,WB31,27.06271,88.43392,555,Grt Ms schist,049/16W,319,16,12 to 222,222,12,top to the SW,normal,,Lcren = 20 to 320,,,,,,,WB31 oriented,,,,,,on fire,,
,,,,,,050/28W,320,28,,,,,,,,,,,,,,,,,,,,,,
,WB32,27.06527,88.44979,846,Interbedded qtz/schist,,,,,,,,,,,,,,,,,,,,,,,excavation site - cant get too close,,
,WB33,27.08214,88.50565,1405,Bt Ms Schist - no apparent grt,070/20S,160,20,04 to 026,26,4,top to the SW,thrust,,Lcren 13 to 098,,,,,,,WB33 oriented ,,,,,,,,
,,,,,,156/26E,60,26,,,,,,,,,,,,,,,,,,,,,,
,,,,,,140/40NE,50,40,,,,,,,,,,,,,,,,,,,,,,
,WB34,27.08426,88.51306,1503,Ms Bt Schist,042/32SE,132,32,18 to 209,209,18,Ambiguous,ambiguous,Scren axial plane = 120/81S,Lcren = 20 to 130,,,,,,,WB34 oriented,,,,,,,,
,,,,,,016/33E,106,33,27 tp 209,209,27,,,Scren axial plane = 110/60S,Lcren = 20 to 110,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Lcren = 30 to 121,,,,,,,,,,,,,,,
,WB35,27.10199,88.54233,1649,"Grt ""gneiss"" (greywake)",048/48S,138,48,14 to 207,207,14,top to the SSW,normal,,Lcren = 29 to 134,,,,,,,WB35 oriented,,,,,,,,
,,,,,,,,,18 to 200,200,18,,,,Lcren = 40 to 136,,,,,,,,,,,,,,,
,,,,,,,,,25 to 200,200,25,,,,,,,,,,,,,,,,,,,
,WB36,27.10675,88.56064,1614,Grt bt ms schist,228/23SE,138,23,05 to 220,220,5,top to the SW?,normal,,Lcren = 13 to 111,,,,,,,WB36 oriented,,,,,,,,
,,,,,,,,,17 to 211,211,17,,,,,,,,,,,,,,,,,,,
,WB37,27.1117,88.56783,1659,Chl Ms Bt schist/phyllite + chl grt schist,164/50E,74,50,10 to 040,40,10,top to the S,thrust,,Lcren = 20 to 113,,,,,,,WB37 oriented,,,,,,grt is very localised,,
,,,,,,207/30E,117,30,10 to 009,9,10,,,,,,,,,,,,,,,,,,,
,WB38,27.11736,88.58004,1752,Grt schist,196/33E,106,33,05 to 029,29,5,,,,,,,,,,,WB38 oriented (2 pieces),,,,,,,,
,WB39,27.114489,88.58709,1766,Grt Ms Bt gneiss w possible sil,235/35E,145,35,04 to 204,204,4,,,,Lcren = 14 to 177,,,,,,,WB39 oriented sample,,,,,,tight chevron folds,,
,,,,,,230/35E,140,35,,,,,,,,,,,,,,,,,,,,,,
,WB40,27.10387,88.59879,1759,Grt Ms Bt schist,028/47E (in amp),118,47,25 to 214,214,25,top to the S,normal,,Lcren = 41 to 324,,,,,,,WB40 - oriented w unknown dark,,,,,,definitely HH,,
,,,,,,,,,,,,,,,,,,,,,,WB40A - non oriented amp,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,WB40B - randomly oriented Sil?,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,WB40C - oriented quartzite for Nikk,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,WB40D - folded Sil in schist,,,,,,,,
,WB41,27.09935,88.59786,1763,grt quartzite,,,,,,,,,,,,,,,,,WB41A - oriented qtzite for Nikk,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,WB41B - non oriented Grt rich,,,,,,,,
,WB42,27.09653,88.59875,1764,recumbent folded quartzite w amp in core,188/36E,98,36,03 to 039,39,3,,,shear plane ~ 235/15S,,,,,,,,,,,,,,amp looks to have melted pre folding,,
,,,,,,198/30E,108,30,10 to 040,40,10,,,,,,,,,,,,,,,,,,,
,,,,,,207/36E,117,36,06 to 035,35,6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,08 to 029,29,8,,,,,,,,,,,,,,,,,inclined isoclinal shear folds,,
,WB43,27.09724,88.60609,1812,micaceous quartzite/schsit,148/10W,238,10,13 to 100,100,13,top to the SW,thrust,late thrust = 085/15S,Faxis = SH to 200,,,,,,,,,,,,,,,
,,,,,,225/35E,135,35,23 to 181,181,23,overprinted by top to the NNW,,late thrust = 087/14S,Ls ass w thrust = 12 to 172 ,,,,,,,,,,,,,,,
,,,,,,040/66E,130,66,08 to 204,204,8,,,late thrust = 042/38SE,Ls ass w thrust = 12 to 175,,,,,,,,,,,,,,,
,,,,,,035/15E,125,15,13 to 194,194,13,,,,Ls ass w thrust = 30 to 160,,,,,,,,,,,,,,,
,,,,,,029/55E,119,55,06 to 209,209,6,,,,,,,,,,,,,,,,,,,
,,,,,,031/66E,121,66,04 to 216,216,4,,,,,,,,,,,,,,,,,,,
,,,,,,196/48E,106,48,07 to 211,211,7,,,,,,,,,,,,,,,,,,,
,,,,,,059/18SE,149,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,039/61E,129,61,,,,,,,,,,,,,,,,,,,,,,
,,,,,,042/64SE,132,64,,,,,,,,,,,,,,,,,,,,,,
,,,,,,061/30S,151,30,,,,,,,,,,,,,,,,,,,,,,
,,,,,,049/47SE,139,47,,,,,,,,,,,,,,,,,,,,,,
,WB44,27.10271,88.64237,2035,highly strained bt quartzite ,219/24E,129,24,12 to 244,244,12,,,peg = 290/61S,,,,,,,,,,,,,,box folding and occational pegmatite,,
,,,,,,,,,24 to 220,220,24,,,late normal (peg?) = 288/49S,,,,,,,,,,,,,,,,
,WB45,27.08992,88.6516,2191,Bt Qtzite/mig?,204/33S,114,33,,,,,,,,,,,,,,,,,,,,,,
,,27.09318,88.64804,2188,bt mig,,,,,,,,,,,,,,,,,WB45A - bt mig body,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,WB45B - leuc?,,,,,,,,
,,27.09544,88.64601,2171,,169/33E,79,33,05 to 196,196,5,,,,,,,,,,,WB45C - non oriented for Nikk,,,,,,,,
,,,,,,219/28SE,129,28,15 to 202,202,15,,,,,,,,,,,,,,,,,,,
,WB25,27.07827,88.41221,253,Ms phyllite with coarse fls clasts,256/40S,166,40,52 to 172,172,52,top to the S,normal,,Lcren = 06 to 246,,,,,,,WB25,,,,,,,,
,,,,,,260/35S,170,35,55 to 180,180,55,,,,,,,,,,,,,,,,,,,
,WB26,27.16385,88.53204,307,slatey low grade metapelite,180/35S,180,35,,,,,,,,,,,,,,,,,,,,,,
