Area,Site #,Latitude,Longitude,elevation (m),Rock type,S dominant,S dominant dip direction,S dominant dip angle,Ls,Ls direction,Ls plunge,shear direction,shear sense,other foliations,other L,C' provided,C'-strike,C'-dip direction,C'-dip,Lineation,Lineation type,Sample,Thin section type,reference chunk,Big crushed,Small crushed,powdered?,other comments,Metamorphic minerals (field),Peak minerals
Lava and South,WB46,27.084,88.65657,2044,Bt Sil Ms Tur schist w xcutting quartz veins,169/30E,79,30,23 to 027,27,23,,,,Lcren = 12 to 164,,,,,,,WB46 *2 1 oriented 1 not,,,,,,,,
,,,,,,358/50E,88,50,,,,,,,,,,,,,,,,,,,,,,
,WB47,27.07058,88.6637,1908,migmatitic gneiss w grt b amp lenses,165/35E,75,35,049 to 37,37,49,,,,,,,,,,,WB47A *2,,,,,,,,
,,,,,,164/50E,74,50,,,,,,,,,,,,,,WB47B oriented mig sample,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,WB47C Amp sample,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,WB47D most mafic amp ,,,,,,,,
,WB48,27.06806,88.6618,1825,Grt ep mig w amp lenses,192/65E,102,65,,,,,,,L? = 20 to 162,,,,,,,WB48A ,,,,,,,,
,,,,,,,,,,,,,,,L? = 12 to 344,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,L? = 45 to 120,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,L? = 42 to 126,,,,,,,,,,,,,,,
,WB49,27.05359,88.67739,1655,Grt Sil mig w def ass melt,110/15SW,200,15,01 to 244,244,1,top to the ENE,thrust,,Faxis = 00 to 160,,,,,,,WB49 oriented,,,,,,,,
,,,,,,,,,SH to 245,245,0,,,,,,,,,,,,,,,,,,,
,WB50,27.04457,88.68089,1563,grt mig gneiss,168/28E,78,28,25 to 140,140,25,top to the SE,normal,,,,,,,,,,,,,,,,,
,WB51,27.04525,88.68946,1344,grt mig gneiss,130/30W,220,30,,,,,,,,,,,,,,,,,,,,,,
,WB52,27.04236,88.69185,1228,grt mig gneiss w sil?,105/37N,15,37,25 to 055,55,25,top to the E,normal,,,,,,,,,,,,,,,,,
,WB53,27.04073,88.6963,1135,grt mig w possible Sil - fewer leuc,130/20N,40,20,10 to 90,90,10,,,fault plane = 090/14N,Lslicken 20 to 004,,,,,,,,,,,,,,,
,,,,,,,,,10 to 85,85,10,,,,,,,,,,,,,,,,,,,
,WB54,27.03172,88.69294,959,Grt Ms Bt schist,044/36NW,314,36,36 to 304,304,36,,,C thrust = 100/20N,Lon c = 15 to 310,,,,,,,,,,,,,,,
,,,,,,,,,40 to 304,304,40,,,,,,,,,,,,,,,,,,,
,WB55,27.02965,88.69579,890,Sil Ky Grt Bt Ms schist/qutzite,040/20NW,310,20,10 to 310,310,10,,,,,,,,,,,WB55,,,,,,,,
,,,,,,043/21NW,313,21,,,,,,,,,,,,,,,,,,,,,,
,WB56,27.02422,88.69549,847,Grt Bt Ms schist,,,,,,,,,,,,,,,,,,,,,,,,,
,WB57,27.02693,88.6973,789,Grt Ms Bt schist,019/35W,289,35,12 to 292,292,12,top to the SE,thrust,,Lcren = 08 to 165,,,,,,,WB57,,,,,,,,
,,,,,,,,,12 to 300,300,12,,,,,,,,,,,,,,,,,,,
,WB58,27.02974,88.70289,795,Grt Ky migmatite/diatexites,089/25N,359,25,20 to 330,330,20,,,,,,,,,,,WB58A oriented,,,,,,,,
,,,,,,080/34N,350,34,,,,,,,,,,,,,,WB58B Ky schist,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,WB58C 3*grt schist,,,,,,,,
,SK48,26.87544444,88.60833333,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK48,27.00619444,88.68,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK48,27.06805556,88.66169444,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK48,27.07922222,88.66886111,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK48,27.0845,88.66605556,,,,,,,,,,,,,,,,,,,,no,,,,,,,
