Area,Site #,Latitude,Longitude,elevation (m),Rock type,S dominant,S dominant dip direction,S dominant dip angle,Ls,Ls direction,Ls plunge,shear direction,shear sense,other foliations,other L,C' provided,C'-strike,C'-dip direction,C'-dip,Lineation,Lineation type,Sample,Thin section type,reference chunk,Big crushed,Small crushed,powdered?,other comments,Metamorphic minerals (field),Peak minerals
Lamahatta,WB08,27.03544,88.3325,1969,Grt Ms Bt metapelites and migmatite blocks,,,,0 to 189,189,0,,,,F axis approx sh to 200,,,,,,,WB08 migmatite oriented,,,,,,,,
,,,,,,,,,11 to 063,63,11,,,,,,,,,,,WB08B comp and shear,,,,,,,,
,,,,,,,,,12 to 060,60,12,,,,,,,,,,,WB08C mig for comp,,,,,,,,
,WB09,27.032,88.33449,1804,Grt migmatite,118/26N,28,26,0 to 048,48,0,top to the SW,thrust,,,,,,,,,,,,,,,,,
,,,,,,204/02S,114,2,0 to 055,55,0,,,,,,,,,,,,,,,,,,,
,,,,,,070/14N,340,14,,,,,,,,,,,,,,,,,,,,,,
,WB10,27.01671,88.37218,1177,strongly foliated quartzite - poss St or Tur,010/20W,280,20,10 to 220,220,10,top to the SW,normal,,,,,,,,,WB10 oriented for shear and comp,,,,,,,,
,,,,,,100/13S,190,13,03 to 189,189,3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15 to 030,30,15,,,,,,,,,,,,,,,,,,,
,WB11,27.01553,88.37656,1181,Myloniti quartzite/schist,184/24W,274,24,26 to 228,228,26,top to the SW,normal,,,,,,,,,WB11 oriented for shear check,,,,,,,,
,,,,,,185/28W,275,28,,,,,,,,,,,,,,,,,,,,,,
,,,,,,190/31W,280,31,,,,,,,,,,,,,,,,,,,,,,
,WB12,27.01229,88.38145,1096,Chl Ms Bt(min) phyllite/mica quartzite,060/30W,330,30,21 to 017,17,21,top to the SW,thrust,,,,,,,,,WB12 oriented for shear,,,,,,,,
,,,,,,,,,13 to 35,35,13,,,,,,,,,,,,,,,,,,,
,,,,,,,,,13 to 40,40,13,,,,,,,,,,,,,,,,,,,
,WB13,27.01259,88.40375,981,micaceous phyllite w chl,085/32S,175,32,0 to 110,110,0,top to the west,thrust,,,,,,,,,,,,,,,,,
,,,,,,090/25S,180,25,0 to 105,105,0,,,,,,,,,,,,,,,,,,,
,WB14,27.01686,88.4122,910,,217/58N,307,58,10 to 030,30,10,top to the SW,thrust,,,,,,,,,WB14,,,,,,,,
,,,,,,040/60N,310,60,,,,,,,,,,,,,,,,,,,,,,
