Area,Site #,Latitude,Longitude,elevation (m),Rock type,S dominant,S dominant dip direction,S dominant dip angle,Ls,Ls direction,Ls plunge,shear direction,shear sense,other foliations,other L,C' provided,C'-strike,C'-dip direction,C'-dip,Lineation,Lineation type,Sample,Thin section type,reference chunk,Big crushed,Small crushed,powdered?,other comments,Metamorphic minerals (field),Peak minerals
Kurseong,WB01,26.91548,88.30865,2044,Ms Bt Grt migmatitic gneiss,200/20W,290,20,0 to 060,60,0,,,,,,,,,,,,,,,,,,,
,,,,,,200/15W,290,15,0 to 056,56,0,,,,,,,,,,,,,,,,,,,
,,,,,,160/15W,250,15,,,,,,,,,,,,,,,,,,,,,,
,WB02,26.905,88.30271,1997,grt migmatitic gneiss,,,,,,,,,,,,,,,,,,,,,,,OOS,,
,WB03,26.86567,88.29699,1355,interbedded quartzite/bt schist,109/13N,19,13,15 to 054,54,15,,,cren axial plane 120/60S,Lcren 03 to 093,,,,,,,WB03 quartzite,,,,,,,,
,,,,,,,,,17 to 055,55,17,top to the SW,thrust,,Lcren 00 to 100,,,,,,,WB03B quartzite,,,,,,,,
,,,,,,,,,,,,,,,Faxis 18 to 006,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Faxis 8 to 299,,,,,,,,,,,,,,,
,WB04,26.86654,88.29918,1386,Ms Bt Schist,100/30N,10,30,10 to 060,60,10,top to the SW,thrust,,Lcren 18 to 128,,,,,,,,,,,,,,,
,,,,,,,,,10 to 067,67,10,,,,Lcren to 300,,,,,,,,,,,,,,,
,WB05,26.87507,88.28176,1454,Grt migmatite,290/18N,20,18,21 to 240,240,21,top to the SW,normal,,,,,,,,,WB05A Quartzite for kinematics,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,WB05B Schist for comp,,,,,,,,
,WB06,26.86512,88.30179,1293,interbedded quartzite/schist,,,,,,,,,,,,,,,,,WB06 oriented quartzite,,,,,,,,
,WB07,26.86207,88.30543,1161,dirty quartzite,209/20W,299,20,10 to 035,35,10,,,cren axial plane 096/81S,Lcren 15 to 284,,,,,,,WB07 oriented,,,,,,,,
,,,,,,,,,,,,,,,cren axis 15 to 293,,,,,,,,,,,,,,,
