Area,Site #,Latitude,Longitude,elevation (m),Rock type,S dominant,S dominant dip direction,S dominant dip angle,Ls,Ls direction,Ls plunge,shear direction,shear sense,other foliations,other L,C' provided,C'-strike,C'-dip direction,C'-dip,Lineation,Lineation type,Sample,Thin section type,reference chunk,Big crushed,Small crushed,powdered?,other comments,Metamorphic minerals (field),Peak minerals
Sikkim along Rangit river,SK201,27.085,88.43792,279,Ms phyllite,101/30N,11,30,12 to 338,338,12,top to SE,thrust,,Lcren = 24 to 050,,,,,,,SK201 oriented,,,,,,,,
,,,,,,106/33N,16,33,12 to 350,350,12,,,,Lcren = 26 to 040,,,,,,,,,,,,,,,
,,,,,,145/32N,55,32,,,,,,,,,,,,,,,,,,,,,,
,SKZ202,27.08335,88.43545,322,Ms phyllite/quartzite,120/50E,30,50,19 to 345,345,19,,,,,,,,,,,,,,,,,,,
,,,,,,107/30N,17,30,,,,,,,,,,,,,,,,,,,,,,
,SK203,27.08196,88.42765,264,,095/31N,5,31,12 to 000,0,12,,,shear plane = 222/40W,Lcren = 04 to 092,,,,,,,,,,,,,opposite WB24,,
,,,,,,027/38W,297,38,,,,,,,,,,,,,,,,,,,,,,
,SK204,27.08425,88.42238,254,Bt flds qtzite - weathered,238/22W,328,22,06 to 342,342,6,,,,Lcren = 04 to 269,,,,,,,,,,,,,,,
,SK205,27.08631,88.41916,263,,,,,30 to 350,350,30,,,,Lcren = 10 to 282,,,,,,,,,,,,,z folds ass w cren,,
,SK206,27.08846,88.41474,283,hard green sheared rock w qtz veins,130/10NE,40,10,,,,,,,L? = 10 to 020,,,,,,,,,,,,,,,
,SK207,27.08977,88.41385,276,Qtzite,,,,DD,,,top to the S,,shear plane = 115/85S,,,,,,,,,,,,,,,,
,,,,,,,,,15 to 140,140,15,,,,,,,,,,,,,,,,,,,
,SK208,27.09359,88.39396,,interbedded schist/quartzite,066/43N,336,43,32 to 346,346,32,,,,Faxis = 10 to 070,,,,,,,,,,,,,,,
,SK209,27.0969,88.38799,271,continued metapelites,095/45N,5,45,45 to 010,10,45,top to the S,thrust,,Lcren = 16 to 076,,,,,,,,,,,,,,,
,,,,,,096/48N,6,48,25 to 030?,30,25,,,,Lcren = 16 to 080,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Lcren = 12 to 095,,,,,,,,,,,,,,,
,SK210,27.09933,88.36219,366,Low grade Ms phyllite,060/35N,330,35,32 to 000,0,32,,,,Lcren = 24 to 265,,,,,,,,,,,,,,,
,,,,,,086/75W,356,75,,,,,,,,,,,,,,,,,,,,,,
,SK211,,,,pale green micaceous quartzite,055/80N,325,80,DD,,,LATE TTT N,,,Lcren = 00 to 055,,,,,,,,,,,,,,,
,SK212,27.12082,88.32061,381,Low grade metapelites,060/22NW,330,22,20 to 331,331,20,,,,Lcren = 05 to 240,,,,,,,,,,,,,,,
,,,,,,041/54W,311,54,20 to 332,332,20,,,,Lcren = 15 to 270,,,,,,,,,,,,,,,
,SK213,27.12831,88.3069,322,Massive quartzite ,,,,,,,,,,,,,,,,,,,,,,,large late fault dipping ~45 degrees to the E,,
