Area,Site #,Latitude,Longitude,elevation (m),Rock description,Soimplified rock type,S dominant,S dominant dip direction,S dominant dip angle,Ls,Ls direction,Ls plunge,shear direction,shear sense,Direction of transport,other foliations,other L,L cren trend,L cren plunge,C' provided,C'-strike,C'-dip direction,C'-dip,Lineation,Lineation type,Sample,Thin section type,reference chunk,Big crushed,Small crushed,powdered?,other comments,Metamorphic minerals (field),Peak minerals
"Pelling , Hee and Martam",SK107,27.2983,88.22955,1895,,MG,117/28SW,207,28,,,,,,,,,,,,,,,,,,,,,,,,,
,SK214,27.29575,88.22294,,Migmatite,MG,302/42W,212,42,to 300,300,,top to the SE,normal,300,,,,,,,,,,,,,,,,,,,
,SK112,27.29543,88.22214,1844,Migmatite,MG,,,,,,,ambiguous,,,,,,,,,,,,,SK112A,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SK112B,,,,,,,,
,SK215,27.29396,88.22058,1825,interbedded schists and quartzites,IM(G),236/38NW,326,38,34 to 282,282,34,top to the NW,normal,282,,Lcren = 22 o 196,,,,,,,,,SK215A oriented,,,,,,,,
,,,,,,,018/48W,288,48,34 to 278,278,34,,normal,278,,,,,,,,,,,SK215B amphibolite,,,,,,,,
,,,,,,,270/16N,0,16,20 to 295,295,20,,normal,295,,,,,,,,,,,SK215C quartzite for Nikk,,,,,,,,
,,,,,,,,,,07 to 275,275,7,,normal,275,,,,,,,,,,,,,,,,,,,
,SK216,27.29162,88.21315,1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SK113,27.29202,88.21421,1850,,,,,,,,,,,,,,,,,,,,,,SK113 non oriented,,,,,,,,
,SK217,27.29235,88.21588,1841,,,,,,,,,,,,,,,,,,,,,,SK217 non oriented,,,,,,,,
,SK218,27.29263,88.21832,1828,very weathered metapelites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SK219,27.29156,88.21061,1834,Sil Grt Schist,IM(S),,,,,,,,,,,,,,,,,,,,SK219 non oriented,,,,,,,,
,SK220,27.28905,88.20322,1795,Sil Bt weathered gneiss,NMG,352/42W,262,42,33 to 298,298,33,top to the W,normal,298,,,,,,,,,,,,,,,,,,,
,SK108,27.27819,88.16748,1675,Augen migmatitic gneiss w grt and Sil,MG,233/34W,323,34,26 to 293,293,26,top to the E,thrust,113,,Lcren = 18 to 021,,,,,,,,,,,,,,,descrete conjugate shear zones,,
,,,,,,,228/41W,318,41,33 to 302,302,,,,,,,,,,,,,,,,,,,,,,,
,SK221,27.27523,88.16821,1636,Augen gneiss with enormous Grt (>1cm),MG,237/39NW,327,39,24 to 316,316,24,top to the E,thrust,136,,,,,,,,,,,SK221A oriented ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SK221B Oriented qtzite for Nikk,,,,,,,,
,SK222,27.27416,88.17234,1657,Massive quartzite w thin interstitial schist (mica and Sil),IM(S),017/35W,287,35,25 to 305,310,23,,unkown,310,,,,,,,,,,,SK222 oriented,,,,,,,,
,,,,,,,,,,22 to 315,315,,,,,,,,,,,,,,,,,,,,,,,
,SK110,27.27393,88.17427,1675,Grt (~1cm) quartzite/schist,IM(G),221/39W,311,39,34 to 315,315,34,ambiguous,ambiguous,315,,L? = 27 to 355,,,,,,,,,SK110B oriented w large grt,,,,,,,,
,,,,,,,,,,38 to 318,318,,,,,,,,,,,,,,,,,,,,,,,
,SK223,27.2597,88.16345,1343,Grt Bt Ms migmatitic gneiss,MG,018/32W,288,32,14 to 321,321,14,ambiguous,ambiguous,321,,,,,,,,,,,,,,,,,,,
,,,,,,,001/34W,271,34,10 to 340,340,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,355/18W,265,18,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,347/26W,257,26,,,,,,,,,,,,,,,,,,,,,,,,,
,SK224,27.25594,88.17621,1285,Sil grt bt ms migmatitic gneiss,MG,020/30W,290,30,23 to 315,315,23,top to the NW,normal,315,,Lint = 15 to 246,,,,,,,,,,,,,,,,,
,,,,,,,,,,27 to 334,334,,,,,,,,,,,,,,,,,,,,,,,
,SK225,27.25986,88.19045,1333,Migmatitic gneiss,MG,306/38W,216,38,05 to 293,293,5,,unkown,293,,Lint = 21 to 240,,,,,,,,,SK225 oriented,,,,,,,,
,,,,,,,352/18W,262,18,Ls? = 00 to 296,296,,,,,,Lint = 21 to 194,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ls? = 15 to 294,294,,,,,,L? = to 260,,,,,,,,,,,,,,,,,
,SK226,27.25201,88.22758,1430,bt ms gneiss interbedded w thin layers of schist (bt ms),NMG,336/45W,246,45,23 to 304,304,23,top to the NW,normal,304,,Lint = 18 to 202,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Lint = 15 to 193,,,,,,,,,,,,,,,,,
,SK227,27.24894,88.2395,1440,Grt Bt Ms Phyllite,IM(G),053/36NW,323,36,34 to 290,290,34,top to the W,normal,290,,Lint = 09 to 238,,,,,,,,,,,,,,,,,
,SK228,27.23281,88.24962,1554,Ms Chl phyllite,IM(C) ,249/36N,339,36,28 to 345,345,28,top to the W,normal,345,,Lcren = 07 to 258,,,,,,,,,,,,,,,,,
,,,,,,,48/52W,318,52,50 to 298,298,,,,,,Lcren = 05 to 208,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,L on C = 50 to 289,,,,,,,,,,,,,,,,,
,SK229,27.23472,88.24232,1515,Ms Chl phyllite,IM(C) ,010/37W,280,37,30 to 323,323,30,top to the NW,normal,323,,Lcren = 35 to 243,,,,,,,,,,,,,,,,,
,,,,,,IM(B),015/76W,285,76,75 to 290,290,,,,,,,,,,,,,,,,,,,,,,,
,SK230,27.23926,88.23748,1478,Chl Ms Bt Phyllite,,259/28N,349,28,,,,,,,,L? = 02 to 260,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,L? = 00 to 284,,,,,,,,,,,,,,,,,
,SK231,27.24166,88.23676,1463,Bt Ms Chl Phyllite,IM(B),014/19W,284,19,,,,,,,,L? = 33 to 264,,,,,,,,,,,,,,,,,
,SK232,27.24457,88.23631,1444,,,320/28W,230,28,39 to 284,284,39,top to the W,normal,284,C' = 033/66W,,,,,,,,,,,,,,,,,,
,,,,,,,032/42NW,302,42,,,,,,,C' = 029/48W,,,,,,,,,,,,,,,,,,
,SK233,27.25466,88.23597,1467,Ms Chl (once Bt?) Grt schist,IM(G),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SK234,27.25514,88.22021,1451,Bt Grt Ms gneiss (migmatitic?),MG,355/30W,265,30,,,,,,,C' = 163/49W,,,,,,,,,,,,,,,,Amphibolite layers occur in C' planes,,
,SK235,27.25389,88.21033,1410,Sil Bt gneiss,NMG,006/40W,264,40,30 to 293,293,30,,unkown,293,,,,,,,,,,,SK235 oriented,,,,,,"possible grt, thin amp layers",,
,SK51,27.2985,88.22333333,1988,,IM(G),352/14W,262,14,,,,top to the NW,,,,,,,,,,,285/0,,,no,,,,,,,
,,,,,,,354/28W,264,28,,,,,,,,,,,,,,,,,,,,,,,,,
,SK52,27.29838889,88.22458333,1950,,IM(B),312/12W,222,12,,,,,,,,,,,,,,,280/05,,yes,no,,,,,,,
,SK53,27.30027778,88.23236111,1957,,NMG,,,,,,,,,,,,,,,,,,,,,no,,,,,,,
,SK54,27.30102778,88.22613889,1860,mig w leuc and melan,MG,346/22W,256,22,,,,top to the W,,,,,,,,,,,275/25,,,no,,,,,,,
,,,,,,,352/36W,262,36,,,,,,,,,,,,,,,,,,,,,,,,,
,SK55,27.30058333,88.22125,1840,ortho mig,MG,025/30W,295,30,300/24,300,24,top to the W,normal,300,,,,,,,,,,stretching,,no,,,,,,,
,,,,,,,212/31W,302,31,,,,,,,,,,,182/42W,182,272,42,210/06,intersection,,,,,,,,,
,SK101,27.27186,88.28129,560,schisty rubbish,IM(C) ,174/44W,264,44,,,,,,,,,,,,,,,,,,,,,,,,chl,
,SK102,27.29302,88.25457,1550,muddy slate,IM(C) ,359/44W,269,44,,25,10,,both,25,,,,,,,,,,,yes,oriented,yes,yes,yes,yes,,"bt, chl",Bt
,SK103,27.29387,88.24753,1585,schisty + quartzite,IM(B),001/40W,271,40,28 to 230,230,28,top to the west,normal,230,,,,,,,,,,,yes,xz non oriented,yes,yes,yes,yes,amph layer,chl,
,SK104,27.29901,88.24302,1743,Quartzite + schist,IM(B),S0 = 169/42W,259,42,,,,,,,,,,,,,,,,,yes,random for comp,yes,yes,,,,,
,SK50,27.29883,88.22157,2030,Schist,IM(K),040/13W ,310,13,25 to 320,320,25,top to the west,normal,320,,,,,,,,,,,yes,xz non-oriented,yes,yes,yes,yes,,"grt, bt",Grt
,SK105,27.29844,88.22204,2050,,IM(K),,,,,,,,,,,,,,,,,,,,yes,,,,,,,"st, trm (?), grt",Grt
,SK106,27.29832,88.22435,1960,quartzite,IM(B),153/18W,243,18,05 to 302,302,,,,,,,,,,,,,,,yes,,yes !,yes,no,no,,bt,Bt
,SK49,27.30038,88.23528,1930,mylonitic migmatite,IM(G),009/42W,279,42,17 to 280,280,17,top to east (thrust) OPB top to west (normal),both,100,,,,,,,,,,,yes,ORIENTED,yes,,,,,bt,Bt
,SK107,27.2983,88.22955,1895,Migmatite,MG,322/32W,232,32,17 to 314,314,17,top to east (thrust) OPB top to west (normal),both,134,,,,,,,,,,,yes,"1  oriented, 1  not",yes !,yes,yes,yes,,grt,Grt
,SK108,27.27819,88.16748,1675,Migmatite,MG,230/33W,320,33,26 to 293,293,26,top to the east,thrust,113,,,,,,,,,,,yes,oriented,yes,yes,?,,,bt,Bt
,SK109,27.275,88.169,1602,Quartzite,IM(G),220/20W,310,20,,,,,,,,,,,,,,,,,,,,,,,,,
